,index,date,day_of_week,is_rest_before,cnt,MA7,MA30,cycle_index
0,1,1,3,0,68.0,0.0,0.0,0
1,2,2,4,0,36.0,0.0,0.0,0
2,3,3,5,0,5565.0,0.0,0.0,0
3,4,4,6,0,4966.0,0.0,0.0,0
4,5,5,7,0,3346.0,0.0,0.0,0
5,6,6,1,0,3396.0,0.0,0.0,0
6,7,7,2,0,4146.0,0.0,0.0,0
7,8,8,3,0,3096.0,3074.714285714286,0.0,0
8,9,9,4,0,2713.0,3507.285714285714,0.0,0
9,10,10,5,0,2409.0,3889.714285714286,0.0,0
10,11,11,6,0,275.0,3438.8571428571427,0.0,0
12,13,12,1,1,2735.0,2768.714285714286,0.0,0
13,14,13,2,0,2386.0,2681.4285714285716,0.0,0
14,15,14,3,0,1901.0,2537.1428571428573,0.0,0
15,16,15,4,0,6072.0,2216.4285714285716,0.0,0
16,17,16,5,0,2716.0,2641.5714285714284,0.0,0
17,18,17,6,0,216.0,2642.0,0.0,0
18,19,18,7,0,22.0,2328.714285714286,0.0,0
19,20,19,1,0,3903.0,2292.5714285714284,0.0,0
20,21,20,2,0,2700.0,2459.4285714285716,0.0,0
21,22,21,3,0,2700.0,2504.285714285714,0.0,0
22,23,22,4,0,2073.0,2618.4285714285716,0.0,0
23,24,23,5,0,1702.0,2047.142857142857,0.0,0
24,25,24,6,0,231.0,1902.2857142857142,0.0,0
26,27,25,1,1,3377.0,1904.4285714285713,0.0,0
27,28,26,2,0,3016.0,2383.714285714286,0.0,0
28,29,27,3,0,2586.0,2257.0,0.0,0
29,30,28,4,0,1652.0,2240.714285714286,0.0,0
30,31,29,5,0,2726.0,2091.0,0.0,1
31,32,30,6,0,279.0,2184.285714285714,0.0,1
32,33,31,7,0,23.0,1981.0,2433.633333333333,1
33,34,32,1,0,4094.0,1951.2857142857142,2432.133333333333,1
34,35,33,2,0,4059.0,2053.714285714286,2567.4,1
35,36,34,3,0,3741.0,2202.714285714286,2517.2,1
36,37,35,4,0,2567.0,2367.714285714286,2476.366666666667,1
