date,day_of_week,brand,cnt,calendar,year,month,day_of_year,gap
1,3,1,20,2013/1/2,2013,1,2,0
1,3,2,0,2013/1/2,2013,1,2,0
1,3,3,0,2013/1/2,2013,1,2,0
1,3,4,0,2013/1/2,2013,1,2,0
1,3,5,48,2013/1/2,2013,1,2,0
2,4,1,16,2013/1/3,2013,1,3,0
2,4,2,0,2013/1/3,2013,1,3,0
2,4,3,20,2013/1/3,2013,1,3,0
2,4,4,0,2013/1/3,2013,1,3,0
2,4,5,0,2013/1/3,2013,1,3,0
3,5,1,1411,2013/1/4,2013,1,4,0
3,5,2,811,2013/1/4,2013,1,4,0
3,5,3,1005,2013/1/4,2013,1,4,0
3,5,4,773,2013/1/4,2013,1,4,0
3,5,5,1565,2013/1/4,2013,1,4,0
4,6,1,1176,2013/1/5,2013,1,5,0
4,6,2,824,2013/1/5,2013,1,5,0
4,6,3,802,2013/1/5,2013,1,5,0
4,6,4,1057,2013/1/5,2013,1,5,0
4,6,5,1107,2013/1/5,2013,1,5,0
5,7,1,812,2013/1/6,2013,1,6,0
5,7,2,549,2013/1/6,2013,1,6,0
5,7,3,579,2013/1/6,2013,1,6,0
5,7,4,759,2013/1/6,2013,1,6,0
5,7,5,647,2013/1/6,2013,1,6,0
6,1,1,889,2013/1/7,2013,1,7,0
6,1,2,545,2013/1/7,2013,1,7,0
6,1,3,599,2013/1/7,2013,1,7,0
6,1,4,725,2013/1/7,2013,1,7,0
6,1,5,638,2013/1/7,2013,1,7,0
7,2,1,893,2013/1/8,2013,1,8,0
7,2,2,618,2013/1/8,2013,1,8,0
7,2,3,642,2013/1/8,2013,1,8,0
7,2,4,1298,2013/1/8,2013,1,8,0
7,2,5,695,2013/1/8,2013,1,8,0
8,3,1,569,2013/1/9,2013,1,9,0
8,3,2,532,2013/1/9,2013,1,9,0
8,3,3,674,2013/1/9,2013,1,9,0
8,3,4,648,2013/1/9,2013,1,9,0
8,3,5,673,2013/1/9,2013,1,9,0
9,4,1,623,2013/1/10,2013,1,10,0
9,4,2,441,2013/1/10,2013,1,10,0
9,4,3,510,2013/1/10,2013,1,10,0
9,4,4,554,2013/1/10,2013,1,10,0
9,4,5,585,2013/1/10,2013,1,10,0
10,5,1,470,2013/1/11,2013,1,11,0
10,5,2,418,2013/1/11,2013,1,11,0
10,5,3,321,2013/1/11,2013,1,11,0
10,5,4,459,2013/1/11,2013,1,11,0
10,5,5,741,2013/1/11,2013,1,11,0
11,6,1,87,2013/1/12,2013,1,12,0
11,6,2,32,2013/1/12,2013,1,12,0
11,6,3,27,2013/1/12,2013,1,12,0
11,6,4,0,2013/1/12,2013,1,12,0
11,6,5,129,2013/1/12,2013,1,12,0
-1,7,1,0,2013/1/13,2013,1,13,0
-1,7,2,0,2013/1/13,2013,1,13,0
-1,7,3,0,2013/1/13,2013,1,13,0
-1,7,4,0,2013/1/13,2013,1,13,0
-1,7,5,0,2013/1/13,2013,1,13,0
